Symbol,Name,Last,Wtd Alpha,YTD %Chg,1M %Chg,3M %Chg,52W %Chg
ADM,Archer Daniels Midland,50.36,28,8.65%,9.29%,19.53%,22.80%
BF.B,Brown Forman Inc Cl B,72.29,12.12,6.94%,-2.97%,4.92%,12.46%
CAG,Conagra Brands Inc,36.96,29.31,7.94%,5.24%,-0.03%,37.30%
CHD,Church & Dwight Company,92.23,36.67,31.12%,-0.77%,5.80%,23.15%
CL,Colgate-Palmolive Company,78.85,18.62,14.54%,3.82%,5.63%,15.26%
CLX,Clorox Company,214.18,39.62,39.49%,1.26%,-6.56%,41.47%
COST,Costco Wholesale,372.72,30.94,26.81%,8.80%,13.77%,25.71%
CPB,Campbell Soup Company,48.24,1.74,-2.39%,1.43%,-2.53%,3.83%
EL,Estee Lauder Companies,231.05,29.9,11.87%,7.37%,19.81%,22.49%
GIS,General Mills,61.12,16.67,14.12%,2.43%,-4.62%,21.01%
HRL,Hormel Foods Corp,50.23,18.37,10.91%,2.44%,-1.03%,23.32%
HSY,Hershey Foods Corp,142.5,0.25,-3.05%,2.14%,-2.59%,-0.57%
K,Kellogg Company,64.93,0.53,-6.12%,2.93%,-7.20%,6.63%
KHC,Kraft Heinz Company,30.68,-3.98,-4.51%,5.32%,-11.94%,8.10%
KMB,Kimberly-Clark Corp,134.76,-2.47,-2.03%,-7.96%,-8.56%,0.42%
KO,Coca-Cola Company,49.9,-3.23,-9.85%,2.42%,2.93%,-7.16%
KR,Kroger Company,32.34,21.14,11.56%,-3.55%,-6.96%,27.93%
LW,Lamb Weston Holdings Inc,66.23,-3.72,-23.02%,2.07%,-6.06%,-11.69%
MDLZ,Mondelez Intl Inc,55.01,5.55,-0.13%,-2.04%,-1.03%,4.24%
MKC,Mccormick & Company Inc,192.21,21.27,13.24%,0.33%,-1.94%,20.60%
MNST,Monster Beverage Cp,80.39,41.62,26.50%,2.03%,5.18%,42.66%
MO,Altria Group,37.17,-19.62,-25.53%,-2.87%,-11.77%,-20.58%
PEP,Pepsico Inc,139.12,3.7,1.79%,4.17%,1.05%,1.81%
PG,Procter & Gamble Company,142.36,20.47,13.98%,3.44%,12.70%,15.51%
PM,Philip Morris International Inc,71.33,-11.78,-16.17%,-5.40%,-9.18%,-12.99%
SJM,J.M. Smucker Company,113.1,6.89,8.61%,0.85%,3.89%,4.45%
STZ,Constellation Brands Inc,172.16,-6.68,-9.27%,-5.31%,-3.76%,-12.09%
SYY,Sysco Corp,58.34,-24.01,-31.80%,-5.92%,8.06%,-26.31%
TAP,Molson Coors Brewing Company,33.81,-36,-37.27%,3.55%,-6.47%,-40.52%
TSN,Tyson Foods,57.67,-29.35,-36.65%,-2.55%,-5.43%,-26.52%
WBA,Walgreens Boots Alliance,36,-36.97,-38.94%,1.61%,-9.64%,-35.04%
WMT,Wal-Mart Stores,142.87,24.99,20.22%,4.08%,8.89%,20.02%
